date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:25	190262/190262	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/ss12.jpg	D:/orientOld/Orient/orientequipment.co.in/img/ss12.jpg	(from https://orientequipment.co.in/sales)
19:48:26	203699/203699	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/ss12-1.jpg	D:/orientOld/Orient/orientequipment.co.in/img/ss12-1.jpg	(from https://orientequipment.co.in/sales)
19:48:27	123994/123994	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/ss12-2.jpg	D:/orientOld/Orient/orientequipment.co.in/img/ss12-2.jpg	(from https://orientequipment.co.in/sales)
19:48:28	107843/107843	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:55:58%20GMT	https://orientequipment.co.in/img/ser-bread.jpg	D:/orientOld/Orient/orientequipment.co.in/img/ser-bread.jpg	(from https://orientequipment.co.in/services)
19:48:31	137308/137308	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:02%20GMT	https://orientequipment.co.in/img/s1.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s1.jpg	(from https://orientequipment.co.in/services)
19:48:34	175096/175096	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:02%20GMT	https://orientequipment.co.in/img/s2.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s2.jpg	(from https://orientequipment.co.in/services)
19:48:35	276535/276535	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:02%20GMT	https://orientequipment.co.in/img/s3.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s3.jpg	(from https://orientequipment.co.in/services)
19:48:36	55506/55506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s4.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s4.jpg	(from https://orientequipment.co.in/services)
19:48:37	1074036/1074036	---M--	200	added ('OK')	image/webp	date:Thu,%2025%20Apr%202024%2012:50:30%20GMT	https://orientequipment.co.in/img/5.webp	D:/orientOld/Orient/orientequipment.co.in/img/5.webp	(from https://orientequipment.co.in/services)
19:48:38	123084/123084	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s5.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s5.jpg	(from https://orientequipment.co.in/services)
19:48:39	112043/112043	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s6.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s6.jpg	(from https://orientequipment.co.in/services)
19:48:40	61891/61891	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s7.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s7.jpg	(from https://orientequipment.co.in/services)
19:48:42	176593/176593	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/s8.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s8.jpg	(from https://orientequipment.co.in/services)
19:48:43	123050/123050	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s10.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s10.jpg	(from https://orientequipment.co.in/services)
19:48:44	108387/108387	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s11.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s11.jpg	(from https://orientequipment.co.in/services)
19:48:45	43894/43894	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s13.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s13.jpg	(from https://orientequipment.co.in/services)
19:48:45	111755/111755	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s12.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s12.jpg	(from https://orientequipment.co.in/services)
19:48:47	130861/130861	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s14.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s14.jpg	(from https://orientequipment.co.in/services)
19:48:48	92529/92529	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s15.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s15.jpg	(from https://orientequipment.co.in/services)
19:48:49	44974/44974	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:16%20GMT	https://orientequipment.co.in/img/s16.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s16.jpg	(from https://orientequipment.co.in/services)
19:48:50	97357/97357	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/s17.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s17.jpg	(from https://orientequipment.co.in/services)
19:48:52	146129/146129	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Mar%202023%2019:36:18%20GMT	https://orientequipment.co.in/img/s18.jpg	D:/orientOld/Orient/orientequipment.co.in/img/s18.jpg	(from https://orientequipment.co.in/services)
19:48:54	149885/149885	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2017:56:00%20GMT	https://orientequipment.co.in/img/cali.jpg	D:/orientOld/Orient/orientequipment.co.in/img/cali.jpg	(from https://orientequipment.co.in/calibrate)
19:48:56	384207/384207	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Apr%202024%2012:54:12%20GMT	https://orientequipment.co.in/img/c1.jpg	D:/orientOld/Orient/orientequipment.co.in/img/c1.jpg	(from https://orientequipment.co.in/calibrate)
